ffprobe|mp3guessenc|mediainfo|file
UNK|OFL|UNK|good - no shift/24 - ARMIN VAN BUUREN - Rush Hour - Amir Hussain Bootleg.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/25 - MIDWAY - Cobra - Niko Zografos Remix.mp3
UNK|UNK|UNK|good - no shift/26 - AVA MEA - In The End - Amir Hussain Remix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/28 - SHERIDAN GROUT - The Last Word - Sam Laxton Remix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/29 - WILL ATKINSON - Leave A Message - Original Mix.mp3
UNK|UNK|UNK|good - no shift/3LAU, PARIS and SIMO ft. BRIGHT LIGHTS - Escape - Original Mix.mp3
UNK|UNK|UNK|good - no shift/99 - ID - Forgotten Lies.mp3
UNK|UNK|UNK|good - no shift/99 - LONDON GRAMMAR - Hey Now - Arty Remix Acho.mp3
UNK|UNK|UNK|good - no shift/99 - MARK LEANINGS VS. SPACE ROCKERZ & TANIA ZYGAR - Whatever Happened To Puzzle Piece (john O'callaghan Mashup).mp3
LAME3.92|LAME3.92|LAME3.92|good - no shift/AC DC - Highway To Hell - Johnes Bootleg.mp3
UNK|UNK|UNK|good - no shift/AC DC - Thunderstruck - Djlight Extended Mix.mp3
UNK|encoder|UNK|good - no shift/ALESSO and MATTHEW KOMA - Years - Vocal Extended Mix.mp3
UNK|LAME3.98.2|LAME3.98.2|good - no shift/ALEX MICA - Dalinda.mp3
UNK|LAME3.99.3|UNK|good - no shift/ALX VELIZ - Dancing Kizomba - Spanish Version.mp3
UNK|LAME3.96|LAME3.96|good - no shift/ANITA MEYER - Why Tell My Why - Guilliano Radio Mix.mp3
UNK|UNK|UNK|good - no shift/ARIANA GRANDE - Break Free - ft. Zedd.mp3
UNK|UNK|UNK|good - no shift/ARMIN VAN BUUREN ft. TREVOR GUTHRIE - This Is What It Feels Like.mp3
UNK|UNK|UNK|good - no shift/AVICII ft. ALOE BLACC - Wake Me Up.mp3
UNK|UNK|UNK|good - no shift/BASTILLE - Pompeii - Audien Remix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/BASTO - Again and Again - Extended Mix.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|good - no shift/BINGO PLAYERS - Get Up - Rattle - ft. Far East Movement.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/BOB SINCLAR - I Feel For You - Erick Morillo Intro Edit.mp3
